@relation accelerometer

@attribute minimum_for_axis_X numeric
@attribute minimum_for_axis_Y numeric
@attribute minimum_for_axis_Z numeric
@attribute minimum_for_magnitude numeric
@attribute average_acceleration_for_axis_X numeric
@attribute average_acceleration_for_axis_Y numeric
@attribute average_acceleration_for_axis_Z numeric
@attribute average_acceleration_for_magnitude numeric
@attribute standard_deviation_for_axis_X numeric
@attribute standard_deviation_for_axis_Y numeric
@attribute standard_deviation_for_axis_Z numeric
@attribute standard_deviation_for_magnitude numeric
@attribute average_absolute_difference_for_axis_X numeric
@attribute average_absolute_difference_for_axis_Y numeric
@attribute average_absolute_difference_for_axis_Z numeric
@attribute average_absolute_difference_for_magnitude numeric
@attribute zero_crossing_rate_for_axis_X numeric
@attribute zero_crossing_rate_for_axis_Y numeric
@attribute zero_crossing_rate_for_axis_Z numeric
@attribute bin0_X numeric
@attribute bin1_X numeric
@attribute bin2_X numeric
@attribute bin3_X numeric
@attribute bin4_X numeric
@attribute bin5_X numeric
@attribute bin6_X numeric
@attribute bin7_X numeric
@attribute bin8_X numeric
@attribute bin9_X numeric
@attribute bin0_Y numeric
@attribute bin1_Y numeric
@attribute bin2_Y numeric
@attribute bin3_Y numeric
@attribute bin4_Y numeric
@attribute bin5_Y numeric
@attribute bin6_Y numeric
@attribute bin7_Y numeric
@attribute bin8_Y numeric
@attribute bin9_Y numeric
@attribute bin0_Z numeric
@attribute bin1_Z numeric
@attribute bin2_Z numeric
@attribute bin3_Z numeric
@attribute bin4_Z numeric
@attribute bin5_Z numeric
@attribute bin6_Z numeric
@attribute bin7_Z numeric
@attribute bin8_Z numeric
@attribute bin9_Z numeric
@attribute bin0_magnitude numeric
@attribute bin1_magnitude numeric
@attribute bin2_magnitude numeric
@attribute bin3_magnitude numeric
@attribute bin4_magnitude numeric
@attribute bin5_magnitude numeric
@attribute bin6_magnitude numeric
@attribute bin7_magnitude numeric
@attribute bin8_magnitude numeric
@attribute bin9_magnitude numeric
@attribute userID {rRHyStiEKkN4Cq5rVSxlpvrCwA72}

@data
-1.5944061279296875,-0.163421630859375,7.67938232421875,7.735558944995261,-0.22303998470306396,1.7677615880966187,9.803129076957703,10.01266997987267,0.7739070760125287,0.6021397442126191,0.8044867205094065,0.7944877331432281,0.5848894435912371,0.4801934789866209,0.5816667769104242,0.5567740385532984,0.0625,0.015625,0.0,0.0,0.0,0.0,0.0,0.7109375,0.2890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.9765625,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328125,0.859375,0.0078125,0.0,0.0,0.125,0.8671875,0.0078125,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-3.4116058349609375,1.390411376953125,7.9834442138671875,8.52689058855491,-1.4067481756210327,2.2875455617904663,9.422993540763855,9.89669416954834,1.331486798700381,0.5869255352670693,0.7614218067523923,0.8701486984679744,1.1790512800216675,0.4841651786118746,0.6532959155738354,0.7465612318773036,0.015625,0.0,0.0,0.0,0.0,0.0,0.15625,0.609375,0.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8203125,0.1796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578125,0.7421875,0.0,0.0,0.0,0.1484375,0.8359375,0.015625,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-2.76995849609375,0.41357421875,8.828598022460938,8.880753250334275,-0.1412256956100464,1.6445146799087524,9.566720008850098,9.803453444258649,1.0670369900479297,0.8716612211217444,0.3551401278249075,0.40409312843893974,0.8173427060246468,0.7600496932864189,0.299088716506958,0.3391150285563449,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.3984375,0.6015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-3.93115234375,0.9594573974609375,8.182159423828125,9.169170212509007,-2.2934263944625854,2.476332426071167,10.125840902328491,10.750261460158374,0.8084703064587119,0.8628779782389683,1.1321889933143099,1.0181325979796507,0.5867105722427368,0.7511225529015064,0.9488325081765652,0.8808301243057894,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5703125,0.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328125,0.7734375,0.09375,0.0,0.0,0.0,0.734375,0.265625,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-3.3733062744140625,1.2395782470703125,7.57403564453125,8.372219850409309,-1.7573308944702148,3.433788299560547,8.518788933753967,9.462732678645715,1.023364564642976,1.0344553386403839,0.575160448246423,0.5947701490773494,0.9078120142221451,0.8265336155891418,0.49124133586883545,0.4904056067980915,0.0,0.0,0.0,0.0,0.0,0.0,0.1953125,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296875,0.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671875,0.328125,0.0,0.0,0.0,0.1640625,0.8359375,0.0,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-3.3206329345703125,-0.7811279296875,4.6650848388671875,7.8433374164394225,-1.079248070716858,4.880747199058533,8.626135110855103,10.90930202678142,0.9270593507275892,4.095713748132757,2.2169472658975558,1.7125919492510842,0.7678529508411884,3.636107660830021,1.962266217917204,1.4565885604721645,0.0078125,0.015625,0.0,0.0,0.0,0.0,0.0390625,0.78125,0.1796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.15625,0.15625,0.2890625,0.140625,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.3203125,0.46875,0.0546875,0.0,0.0,0.1328125,0.546875,0.3203125,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-0.3087310791015625,1.9051666259765625,6.2715911865234375,8.711553755427918,1.0773667097091675,4.58104133605957,8.607655048370361,10.195905129128631,1.1242856645973052,2.238974440927718,1.5847834162706653,1.0346332967063316,0.9095207042992115,1.9843374192714691,1.251637026667595,0.8780510205645976,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.2109375,0.6875,0.1015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.40625,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7265625,0.21875,0.0546875,0.0,0.0,0.0390625,0.890625,0.0703125,0.0,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-1.3980865478515625,-1.2144775390625,2.4097442626953125,2.577221708342087,2.0798263549804688,4.097712159156799,7.763156294822693,9.391682892799858,1.5516471690524107,1.9644091083775295,2.3730746482384912,2.253398782622774,1.3121068477630615,1.667605521157384,1.576780829578638,1.5656900551003377,0.0625,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0859375,0.609375,0.3046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.2734375,0.4296875,0.2578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.1328125,0.65625,0.125,0.078125,0.0078125,0.015625,0.4375,0.4453125,0.0546875,0.0390625,0.0,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-2.985443115234375,-0.9750518798828125,3.0394134521484375,4.522828242803806,2.154308319091797,2.9000121355056763,10.169647812843323,11.205667185308412,2.4819651096634003,1.2691034418945748,3.3928422163240373,3.191868879801499,2.0914756655693054,1.0234793480485678,2.233317209407687,2.101825265075075,0.078125,0.0078125,0.0,0.0,0.0,0.0,0.015625,0.1953125,0.3515625,0.359375,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.4296875,0.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.1484375,0.5390625,0.203125,0.0,0.078125,0.1015625,0.421875,0.3359375,0.0390625,0.0078125,0.0078125,0.0,0.0078125,rRHyStiEKkN4Cq5rVSxlpvrCwA72
-3.7180633544921875,-2.708465576171875,-0.281341552734375,0.7138575702950918,1.5200130939483643,2.008938193321228,5.912158250808716,7.303728365370462,2.9527995276885552,1.7814291752043605,3.743831447244285,3.7234699515653538,2.5737245567142963,1.386306058615446,2.969941847026348,2.8635246076880976,0.0625,0.0234375,0.015625,0.0,0.0,0.0,0.03125,0.3359375,0.234375,0.3125,0.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0859375,0.6484375,0.21875,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.234375,0.1640625,0.3671875,0.15625,0.0546875,0.125,0.21875,0.34375,0.21875,0.0546875,0.0234375,0.015625,0.0,0.0,0.0,rRHyStiEKkN4Cq5rVSxlpvrCwA72
