@relation accelerometer

@attribute minimum_for_axis_X numeric
@attribute minimum_for_axis_Y numeric
@attribute minimum_for_axis_Z numeric
@attribute minimum_for_magnitude numeric
@attribute average_acceleration_for_axis_X numeric
@attribute average_acceleration_for_axis_Y numeric
@attribute average_acceleration_for_axis_Z numeric
@attribute average_acceleration_for_magnitude numeric
@attribute standard_deviation_for_axis_X numeric
@attribute standard_deviation_for_axis_Y numeric
@attribute standard_deviation_for_axis_Z numeric
@attribute standard_deviation_for_magnitude numeric
@attribute average_absolute_difference_for_axis_X numeric
@attribute average_absolute_difference_for_axis_Y numeric
@attribute average_absolute_difference_for_axis_Z numeric
@attribute average_absolute_difference_for_magnitude numeric
@attribute zero_crossing_rate_for_axis_X numeric
@attribute zero_crossing_rate_for_axis_Y numeric
@attribute zero_crossing_rate_for_axis_Z numeric
@attribute bin0_X numeric
@attribute bin1_X numeric
@attribute bin2_X numeric
@attribute bin3_X numeric
@attribute bin4_X numeric
@attribute bin5_X numeric
@attribute bin6_X numeric
@attribute bin7_X numeric
@attribute bin8_X numeric
@attribute bin9_X numeric
@attribute bin0_Y numeric
@attribute bin1_Y numeric
@attribute bin2_Y numeric
@attribute bin3_Y numeric
@attribute bin4_Y numeric
@attribute bin5_Y numeric
@attribute bin6_Y numeric
@attribute bin7_Y numeric
@attribute bin8_Y numeric
@attribute bin9_Y numeric
@attribute bin0_Z numeric
@attribute bin1_Z numeric
@attribute bin2_Z numeric
@attribute bin3_Z numeric
@attribute bin4_Z numeric
@attribute bin5_Z numeric
@attribute bin6_Z numeric
@attribute bin7_Z numeric
@attribute bin8_Z numeric
@attribute bin9_Z numeric
@attribute bin0_magnitude numeric
@attribute bin1_magnitude numeric
@attribute bin2_magnitude numeric
@attribute bin3_magnitude numeric
@attribute bin4_magnitude numeric
@attribute bin5_magnitude numeric
@attribute bin6_magnitude numeric
@attribute bin7_magnitude numeric
@attribute bin8_magnitude numeric
@attribute bin9_magnitude numeric
@attribute userID{rRHyStiEKkN4Cq5rVSxlpvrCwA72,ttJMxBAjuHNVLCKhaXNvBTFDbIc2}

@data
-3.387664794921875,0.202880859375,4.6985931396484375,4.725925857572305,-1.3309576511383057,4.534129977226257,7.904545307159424,9.414250623597905,1.3888836906393704,1.5692075097576366,1.306552076825959,1.5106267152377095,1.0365513674914837,1.2184027805924416,0.9808368682861328,1.0949647175071413,0.03125,0.0,0.0,0.0,0.0,0.0,0.1171875,0.7109375,0.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.7578125,0.0703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.7109375,0.21875,0.0,0.0,0.046875,0.1796875,0.7734375,0.0,0.0,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-4.8002471923828125,1.632232666015625,5.3905181884765625,6.381000301246456,-0.2733182907104492,3.952712893486023,8.714496850967407,9.838336519513572,2.0469006429237986,0.8838699029195072,1.593426597412172,1.5356655134902415,1.5978291779756546,0.70009052939713,1.2506543025374413,1.2140055286946512,0.078125,0.0,0.0,0.0,0.0,0.0,0.0859375,0.4375,0.3828125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.875,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.390625,0.515625,0.0390625,0.0,0.0,0.2890625,0.6640625,0.0390625,0.0078125,0.0,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-5.7196197509765625,-1.4347381591796875,1.23419189453125,3.9876466625354228,-1.4276039600372314,0.8341158628463745,10.989960193634033,11.70852081466118,3.226412750018219,0.844749068104667,3.812855435119021,3.476316228471297,2.4391482397913933,0.6439854260534048,2.91290183365345,2.7326989786467673,0.03125,0.078125,0.0,0.0,0.0,0.0,0.4375,0.34375,0.0859375,0.0625,0.0703125,0.0,0.0,0.0,0.0,0.0,0.0,0.1484375,0.84375,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0625,0.1171875,0.3203125,0.453125,0.0,0.0859375,0.125,0.2734375,0.3671875,0.09375,0.0546875,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-2.118743896484375,-10.793685913085938,-2.0650177001953125,2.3183384054689022,7.347163677215576,-1.5441687107086182,4.421300053596497,10.407930557672504,7.231082116641525,3.2378101246089215,2.254841726825015,5.953521728455437,6.296663947403431,2.3780641853809357,1.8700224068015814,4.960368846401046,0.0234375,0.0390625,0.015625,0.0,0.0,0.0,0.0,0.171875,0.1328125,0.2890625,0.046875,0.0390625,0.3203125,0.0,0.0546875,0.0546875,0.1015625,0.4609375,0.2734375,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.3125,0.3828125,0.265625,0.0234375,0.0,0.0234375,0.2734375,0.265625,0.1015625,0.1171875,0.03125,0.0390625,0.1484375,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
4.2546234130859375,-3.5153045654296875,-2.869476318359375,6.907419525447401,10.515328288078308,2.9313989877700806,1.5503528118133545,11.97659288748493,2.2532450482778357,3.2785025485679395,3.331571624614914,2.248356595070411,1.7018471956253052,2.7025542743504047,2.6655148304998875,1.6975241933855953,0.0,0.0390625,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.2109375,0.5,0.2734375,0.0,0.0,0.0,0.0546875,0.1640625,0.171875,0.4609375,0.1328125,0.015625,0.0,0.0,0.0,0.0,0.0,0.3828125,0.359375,0.0859375,0.1484375,0.0234375,0.0,0.0,0.0,0.0546875,0.4765625,0.3515625,0.09375,0.0234375,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
3.0335845947265625,-6.271026611328125,-8.905258178710938,5.5654092901653955,9.800771832466125,3.4928585290908813,-1.3407955169677734,12.19885853504969,3.1173863787014633,3.3146406333469502,5.782184716707831,3.92165433674976,2.611569046974182,2.3464945666491985,3.433860123157501,2.6263606235775843,0.0,0.03125,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.3203125,0.328125,0.2421875,0.0,0.0,0.0078125,0.03125,0.09375,0.21875,0.4765625,0.1328125,0.0078125,0.03125,0.0,0.0078125,0.0625,0.359375,0.3515625,0.1484375,0.0078125,0.015625,0.0,0.046875,0.0,0.0234375,0.140625,0.34375,0.3046875,0.1484375,0.0078125,0.0078125,0.0,0.0234375,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
3.701568603515625,0.0448760986328125,-18.008010864257812,6.830769365925438,9.031596660614014,4.845600366592407,-2.241632342338562,11.386278746987438,2.2185791809348214,3.031545353794032,3.624119715628165,2.770154785250726,1.8455721214413643,2.5918381698429585,2.5003887973725796,2.2147804797201376,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.3125,0.46875,0.109375,0.0,0.0,0.0,0.0,0.0,0.3203125,0.28125,0.296875,0.1015625,0.0,0.0078125,0.0390625,0.0234375,0.28125,0.359375,0.25,0.0390625,0.0,0.0,0.0,0.0,0.0,0.171875,0.4453125,0.2421875,0.1171875,0.0234375,0.0,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-9.409088134765625,-0.4603118896484375,-10.348953247070312,2.073317457338501,7.888197660446167,7.072207927703857,0.9341075420379639,12.827358773526074,8.772553032684268,4.957685884816264,4.098842673493646,8.179734616972507,6.884984288364649,4.440948456525803,3.288493614643812,6.469270910629439,0.0546875,0.015625,0.046875,0.0,0.0078125,0.0,0.0234375,0.078125,0.2109375,0.2421875,0.046875,0.0625,0.328125,0.0,0.0,0.0,0.0,0.015625,0.28125,0.1796875,0.078125,0.234375,0.2109375,0.0,0.015625,0.046875,0.1484375,0.140625,0.3203125,0.234375,0.0859375,0.0078125,0.0,0.1328125,0.1484375,0.0625,0.1484375,0.078125,0.203125,0.1171875,0.015625,0.0234375,0.0703125,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-13.4600830078125,0.0089569091796875,-18.2474365234375,3.475652544675476,4.425114870071411,7.089659929275513,-1.1220070123672485,10.114699421871272,4.676709053241212,3.891626123640432,3.6427031773612155,4.368331805200535,2.6717554442584515,3.535817440599203,2.368538737297058,3.438642842954545,0.0078125,0.0,0.0625,0.015625,0.0078125,0.0,0.0078125,0.0,0.3203125,0.453125,0.1015625,0.015625,0.078125,0.0,0.0,0.0,0.0,0.0,0.2109375,0.2265625,0.0859375,0.34375,0.1328125,0.015625,0.015625,0.046875,0.046875,0.6015625,0.15625,0.1171875,0.0,0.0,0.0,0.0,0.203125,0.15625,0.328125,0.1640625,0.09375,0.03125,0.0234375,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-13.938919067382812,0.947479248046875,-16.296157836914062,3.362955059220624,1.2615708112716675,10.529154539108276,-0.5685346126556396,11.717444147849013,3.9743470401311263,3.459015409409755,3.0510416828937217,3.542381658826692,3.03413157351315,2.5308758206665516,1.9679312109947205,2.625934889845527,0.03125,0.0,0.125,0.015625,0.0,0.0078125,0.0546875,0.3359375,0.3046875,0.140625,0.09375,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.09375,0.046875,0.4453125,0.359375,0.015625,0.015625,0.015625,0.0625,0.390625,0.46875,0.0234375,0.0078125,0.0,0.0,0.0,0.125,0.046875,0.2578125,0.40625,0.140625,0.0078125,0.015625,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-0.5816650390625,1.8740386962890625,-9.618728637695312,3.3248237895604515,3.159348964691162,9.399671912193298,1.4325134754180908,10.475661802424229,2.2229416922222063,4.008847719895146,2.6624488369728856,4.329998408069184,1.9013301879167557,3.3293225057423115,2.118593353778124,3.581493617497639,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.046875,0.40625,0.3984375,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.1953125,0.2109375,0.2578125,0.3046875,0.0,0.0078125,0.015625,0.015625,0.2265625,0.390625,0.34375,0.0,0.0,0.0,0.0,0.2265625,0.109375,0.25,0.2109375,0.1796875,0.0078125,0.015625,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
-6.0308685302734375,2.4294891357421875,-10.633865356445312,3.1871830655437727,0.32831835746765137,9.60901391506195,-0.2869163751602173,10.350086545179469,2.469676873683453,3.8617623674934953,3.3449502563976927,4.195256313803146,1.9122992381453514,2.724708527326584,2.399338699877262,3.078192361072853,0.0390625,0.0,0.0390625,0.0,0.0,0.0078125,0.0859375,0.2890625,0.4765625,0.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.078125,0.453125,0.2734375,0.171875,0.0,0.0234375,0.0078125,0.1484375,0.3203125,0.390625,0.0546875,0.03125,0.0234375,0.0,0.0,0.09375,0.34375,0.296875,0.1171875,0.078125,0.015625,0.0546875,0.0,0.0,ttJMxBAjuHNVLCKhaXNvBTFDbIc2
